n,p,reinicio,fuente_elegida,convergencia_scipy,iteraciones,evaluaciones,esperanza,razon_esperada,probabilidad_optimo,bitstring_mas_probable,costo_bitstring_mas_probable,probabilidad_mas_alta,norma,gamma_escalado_1,gamma_fisico_1,beta_1,gamma_escalado_2,gamma_fisico_2,beta_2,gamma_escalado_3,gamma_fisico_3,beta_3
8,3,7,optimizado,True,27,210,36.09238531050087,0.8549043903669662,0.07680699084029514,11010010,42.218037146668195,0.03840349542014757,0.9999999999999991,2.923503208603585,0.06924772931424833,0.529186651409525,4.155541105836357,0.09843046684687513,3.141592653589793,1.913400254117302,0.04532186675116292,1.8019489073774866
8,3,8,optimizado,True,30,224,36.09238531049982,0.8549043903669413,0.0768069906303424,11010010,42.218037146668195,0.0384034953151712,0.9999999999999996,2.923502949066525,0.06924772316670863,2.0999830554020065,3.15516114649623,0.07473490857558023,3.141592653589793,2.9137790832092563,0.06901739825076854,1.801948920550885
8,3,9,optimizado,True,44,371,37.76195252049234,0.8944506914926822,0.15349089518979264,11010010,42.218037146668195,0.07674544759489632,0.9999999999999991,3.275104102294274,0.0775759443958286,0.5878049886442857,5.73438337449755,0.1358278063566772,0.4153948458574382,6.283185307179586,0.14882703535347191,0.25980246993610284
8,3,10,optimizado,True,44,385,37.7619525204957,0.8944506914927616,0.15349086921443938,11010010,42.218037146668195,0.07674543460721969,0.9999999999999998,3.2751045382254214,0.07757595472153715,2.1586015042784155,5.7343843125425495,0.13582782857573483,1.986191237234369,6.283185307179586,0.14882703535347191,1.8305986331067317
8,3,11,optimizado,True,41,329,36.092385310500056,0.8549043903669469,0.07680698166867225,11010010,42.218037146668195,0.038403490834336126,0.9999999999999987,0.0,0.0,2.5288494081446404,2.9235032276604405,0.06924772976563966,2.0999829743432437,6.068941637744897,0.1437523401779564,1.80194881502914
8,3,12,optimizado,True,46,378,37.7619525204957,0.8944506914927616,0.15349089402078336,11010010,42.218037146668195,0.07674544701039168,1.0000000000000013,3.275105369288353,0.07757597440655777,0.5878052245319597,5.734384659448565,0.1358278367927444,1.986191387727462,6.283185307179586,0.14882703535347191,1.8305987718435248
10,1,1,optimizado,True,9,33,69.11824886981255,0.7937779030146769,0.016451280145754164,1100101010,87.07504782611689,0.008225640072877082,0.9999999999999991,4.292946344129352,0.049301682298346146,0.39269904421494195,,,,,,
10,1,2,optimizado,True,6,33,69.11824886981353,0.7937779030146882,0.01645128132388452,1100101010,87.07504782611689,0.00822564066194226,1.0000000000000009,4.292946811596285,0.04930168766689827,0.392699078691232,,,,,,
10,1,3,optimizado,True,6,45,69.1182488698135,0.7937779030146879,0.016451282017725888,1100101010,87.07504782611689,0.008225641008862944,1.0000000000000009,4.2929472207984425,0.04930169236631754,0.3926990767390006,,,,,,
10,1,4,optimizado,True,6,33,69.11824886981307,0.793777903014683,0.01645128258463574,1100101010,87.07504782611689,0.00822564129231787,1.0000000000000009,4.292947546063716,0.049301696101776565,0.39269907665281084,,,,,,
10,1,5,optimizado,True,7,33,69.11824886981296,0.7937779030146817,0.016451280647706252,1100101010,87.07504782611689,0.008225640323853126,1.0000000000000004,4.292946357935981,0.049301682456906255,1.9634954165102867,,,,,,
10,1,6,optimizado,True,6,30,69.1182488698135,0.7937779030146879,0.016451281590538862,1100101010,87.07504782611689,0.008225640795269431,1.0000000000000009,4.2929470561653,0.04930169047561352,0.39269906342859057,,,,,,
10,2,1,optimizado,True,1,175,69.11824886981353,0.7937779030146882,0.01645128132388451,1100101010,87.07504782611689,0.008225640661942256,1.0000000000000009,4.292946811596285,0.04930168766689827,0.39269907869123116,6.847011561929149e-17,7.863345163420526e-19,4.1082069371574895e-16,,,
10,2,2,optimizado,True,33,245,73.42394926211962,0.8432260572185328,0.027111375794108213,1100101010,87.07504782611689,0.013555687897054107,0.9999999999999996,3.2481160709769883,0.037302489656887886,0.4919720668501374,6.283185307179586,0.07215827569329401,0.20903522902679506,,,
