n,p,bitstring,frecuencia,probabilidad,costo,es_optimo
12,2,111111100001,1,0.001953125,70.787761841,False
12,2,000000011110,1,0.001953125,70.787761841,False
12,2,111101101110,1,0.001953125,70.70987853500002,False
12,2,111000011011,1,0.001953125,70.683454467,False
12,2,011010100010,1,0.001953125,70.61954894200001,False
12,2,010001011011,1,0.001953125,70.49518564499999,False
12,2,001001011111,1,0.001953125,70.46534664800001,False
12,2,110110100000,1,0.001953125,70.46534664800001,False
12,2,100010100011,1,0.001953125,70.41874272700001,False
12,2,011111100001,1,0.001953125,70.313156507,False
12,2,101100011001,1,0.001953125,70.236713589,False
12,2,101111100101,2,0.00390625,70.13805425400001,False
12,2,100111100000,1,0.001953125,70.11235029200002,False
12,2,010011010000,1,0.001953125,70.10391868,False
12,2,011011010101,2,0.00390625,70.07821471800001,False
12,2,000010100011,1,0.001953125,69.944137393,False
12,2,111000001000,1,0.001953125,69.887064097,False
12,2,101001001100,1,0.001953125,69.83918133,False
12,2,101010100011,1,0.001953125,69.739196143,False
12,2,010101011100,1,0.001953125,69.739196143,False
12,2,111001111010,1,0.001953125,69.723147775,False
12,2,000011100010,1,0.001953125,69.58700600200001,False
12,2,001001111110,1,0.001953125,69.548045522,False
12,2,100111000101,1,0.001953125,69.500162755,False
12,2,011011110000,1,0.001953125,69.466027181,False
12,2,010011110101,1,0.001953125,69.440323219,False
12,2,010001111011,1,0.001953125,69.17774756200001,False
12,2,011101111100,1,0.001953125,69.10130464400001,False
12,2,010010110100,1,0.001953125,69.08319182800001,False
12,2,101001111110,1,0.001953125,69.073440188,False
12,2,010110000001,1,0.001953125,69.073440188,False
12,2,111111000100,1,0.001953125,68.82475120600002,False
12,2,000000111011,1,0.001953125,68.82475120600002,False
12,2,101111000101,1,0.001953125,68.820616171,False
12,2,011000111111,1,0.001953125,68.794912209,False
12,2,011011110101,1,0.001953125,68.76077663500001,False
12,2,011111000101,1,0.001953125,68.690604835,False
12,2,000011000010,1,0.001953125,68.26956791900001,False
12,2,001001011110,1,0.001953125,68.23060743900001,False
12,2,110110100001,1,0.001953125,68.23060743900001,False
12,2,001110100100,1,0.001953125,68.12630006500001,False
12,2,011111100000,2,0.00390625,68.078417298,False
12,2,001010000011,2,0.00390625,67.947152726,False
12,2,110101101111,1,0.001953125,67.79559274200001,False
12,2,011001011010,1,0.001953125,67.580899852,False
12,2,100110100101,1,0.001953125,67.580899852,False
12,2,010001011111,1,0.001953125,67.55519589,False
12,2,000111100001,1,0.001953125,67.403005749,False
12,2,011111100101,2,0.00390625,67.373166752,False
12,2,101110100101,1,0.001953125,66.90135326800001,False
12,2,010001011010,1,0.001953125,66.90135326800001,False
12,2,011000111110,2,0.00390625,66.560173,False
12,2,100111000001,1,0.001953125,66.560173,False
12,2,100110000101,1,0.001953125,66.263461769,False
12,2,010001111111,1,0.001953125,66.23775780700001,False
12,2,111000111110,1,0.001953125,66.085567666,False
12,2,110111000101,1,0.001953125,65.910465413,False
12,2,011110010110,1,0.001953125,65.302343865,False
12,2,111101111101,1,0.001953125,65.03286693300001,False
12,2,101000101000,1,0.001953125,64.979928672,False
12,2,000111010110,1,0.001953125,64.97579363700001,False
12,2,010110100101,1,0.001953125,64.81601235000001,False
12,2,100110100001,2,0.00390625,64.640910097,False
12,2,011000011001,1,0.001953125,64.432149054,False
12,2,001000101111,1,0.001953125,64.316115499,False
12,2,000001011011,1,0.001953125,64.270612137,False
12,2,000110100001,1,0.001953125,64.166304763,False
12,2,101000111100,1,0.001953125,63.68995018100001,False
12,2,011001111110,1,0.001953125,63.323472014000004,False
12,2,110000111111,1,0.001953125,63.171281873000005,False
12,2,110110000010,2,0.00390625,63.162593738000005,False
12,2,101110110101,1,0.001953125,62.671385022,False
12,2,000001011101,1,0.001953125,62.524702239,False
12,2,101000011100,1,0.001953125,62.372512098,False
12,2,110111010001,1,0.001953125,62.08137629,False
12,2,101110010000,1,0.001953125,62.007789561,False
12,2,000001111010,2,0.00390625,61.994217843,False
12,2,000111010011,1,0.001953125,61.69534491900001,False
12,2,101111100111,1,0.001953125,61.517863261,False
12,2,100111100010,1,0.001953125,61.492159299,False
12,2,011000011101,1,0.001953125,61.492159299,False
12,2,001001011010,1,0.001953125,61.356326344,False
12,2,011001101111,1,0.001953125,61.328242977,False
12,2,110011000000,1,0.001953125,60.62146209400001,False
12,2,000110100000,1,0.001953125,60.572472386,False
12,2,011000001111,1,0.001953125,59.408980074000006,False
12,2,110011100000,1,0.001953125,59.30402401100001,False
12,2,011001011101,2,0.00390625,58.255458313,False
12,2,111010000000,1,0.001953125,58.064307692,False
12,2,010001111101,1,0.001953125,57.61756681400001,False
12,2,101111110001,1,0.001953125,56.494694281,False
12,2,001101011111,1,0.001953125,56.06732302500001,False
12,2,110000011101,1,0.001953125,55.868528963,False
12,2,011100111010,1,0.001953125,55.102139132000005,False
12,2,001001011001,1,0.001953125,54.970874560000006,False
12,2,110000111101,1,0.001953125,54.551090880000004,False
12,2,101011000101,1,0.001953125,54.422592548000004,False
12,2,011100111111,1,0.001953125,54.396888586,False
12,2,011101111011,1,0.001953125,54.100177355,False
12,2,011110100110,1,0.001953125,53.281535564,False
12,2,110011100101,1,0.001953125,50.195003707000005,False
12,2,010100010000,1,0.001953125,42.881632609,False
12,2,000000101100,1,0.001953125,41.225973453,False
12,2,100101110101,1,0.001953125,38.90273275,False
12,2,111010001110,1,0.001953125,38.331628575,False
12,2,000000010110,1,0.001953125,37.753507566,False
12,2,110110101010,1,0.001953125,28.81090138,False
12,3,000110110101,4,0.0078125,93.29962133600002,True
12,3,110001001010,7,0.013671875,92.62007475200001,False
12,3,001110110101,2,0.00390625,92.62007475200001,False
12,3,111001101010,4,0.0078125,91.98218325300002,False
12,3,000110010101,2,0.00390625,91.98218325300002,False
12,3,101001101110,4,0.0078125,91.33247566600001,False
12,3,010110010001,3,0.005859375,91.33247566600001,False
12,3,110001101010,4,0.0078125,91.30263666900002,False
12,3,001110010101,2,0.00390625,91.30263666900002,False
12,3,011110010001,5,0.009765625,90.652929082,False
12,3,100001101110,1,0.001953125,90.652929082,False
12,3,110001001011,3,0.005859375,90.38533554300001,False
12,3,001110110100,3,0.005859375,90.38533554300001,False
12,3,000111110101,6,0.01171875,90.06292035000001,False
12,3,111000001010,2,0.00390625,90.06292035000001,False
12,3,101001001110,4,0.0078125,90.01503758300001,False
12,3,010110110001,3,0.005859375,90.01503758300001,False
12,3,000110110100,1,0.001953125,89.705788959,False
12,3,111001001011,1,0.001953125,89.705788959,False
12,3,110000001010,2,0.00390625,89.383373766,False
12,3,011110110001,3,0.005859375,89.33549099900002,False
12,3,100001001110,1,0.001953125,89.33549099900002,False
12,3,110001101011,3,0.005859375,89.06789746000001,False
12,3,001110010100,2,0.00390625,89.06789746000001,False
12,3,111000101010,3,0.005859375,88.74548226700001,False
12,3,000111010101,2,0.00390625,88.74548226700001,False
12,3,100001101111,2,0.00390625,88.418189873,False
12,3,010110010101,3,0.005859375,88.39248591100001,False
12,3,101001101010,2,0.00390625,88.39248591100001,False
12,3,111001101011,1,0.001953125,88.38835087600002,False
12,3,101000101110,3,0.005859375,88.09577468,False
12,3,001111010101,2,0.00390625,88.06593568300002,False
12,3,110000101010,1,0.001953125,88.06593568300002,False
12,3,010110010000,3,0.005859375,87.73864328900001,False
12,3,011110010101,4,0.0078125,87.712939327,False
12,3,100001101010,2,0.00390625,87.712939327,False
12,3,111101001000,1,0.001953125,87.52178870600001,False
12,3,000010110111,1,0.001953125,87.52178870600001,False
12,3,100000101110,2,0.00390625,87.416228096,False
12,3,011111010001,1,0.001953125,87.416228096,False
12,3,110000001011,2,0.00390625,87.14863455700001,False
12,3,100001001111,4,0.0078125,87.10075179000002,False
12,3,010110110101,2,0.00390625,87.07504782800002,False
12,3,101001001010,1,0.001953125,87.07504782800002,False
12,3,110101001000,1,0.001953125,86.842242122,False
12,3,001010110111,1,0.001953125,86.842242122,False
12,3,101000001110,3,0.005859375,86.778336597,False
12,3,010111110001,3,0.005859375,86.778336597,False
12,3,111000001011,2,0.00390625,86.469087973,False
12,3,000110110001,3,0.005859375,86.425340241,False
12,3,111001001110,2,0.00390625,86.425340241,False
12,3,010110110000,1,0.001953125,86.42120520600001,False
12,3,101001001111,1,0.001953125,86.42120520600001,False
12,3,011110110101,2,0.00390625,86.39550124400002,False
12,3,111101101000,4,0.0078125,86.20435062300001,False
12,3,000010010111,1,0.001953125,86.20435062300001,False
12,3,100000001110,2,0.00390625,86.09879001300001,False
12,3,011111110001,1,0.001953125,86.09879001300001,False
12,3,110000101011,1,0.001953125,85.83119647400001,False
12,3,001110110001,2,0.00390625,85.74579365700002,False
12,3,101101101100,1,0.001953125,85.554643036,False
12,3,010010010011,1,0.001953125,85.554643036,False
12,3,110101101000,3,0.005859375,85.52480403900002,False
12,3,001010010111,1,0.001953125,85.52480403900002,False
12,3,011110010100,3,0.005859375,85.478200118,False
12,3,100001101011,2,0.00390625,85.478200118,False
12,3,011111010000,3,0.005859375,85.181488887,False
12,3,100000101111,2,0.00390625,85.181488887,False
12,3,101000101010,3,0.005859375,85.155784925,False
12,3,000111010100,3,0.005859375,85.15164989000002,False
12,3,000110010001,2,0.00390625,85.10790215800002,False
12,3,111001101110,1,0.001953125,85.10790215800002,False
12,3,100101101100,2,0.00390625,84.875096452,False
12,3,011010010011,1,0.001953125,84.875096452,False
12,3,001010110110,3,0.005859375,84.607502913,False
12,3,101000101111,3,0.005859375,84.501942303,False
12,3,010111010000,1,0.001953125,84.501942303,False
12,3,011111010101,2,0.00390625,84.476238341,False
12,3,001110010001,1,0.001953125,84.42835557400001,False
12,3,110001101110,1,0.001953125,84.42835557400001,False
12,3,000011110111,4,0.0078125,84.28508772,False
12,3,111100001000,2,0.00390625,84.28508772,False
12,3,010010110011,2,0.00390625,84.237204953,False
12,3,100001001011,2,0.00390625,84.16076203500002,False
12,3,011110110100,1,0.001953125,84.16076203500002,False
12,3,111101001001,1,0.001953125,83.927956329,False
