n,p,repeticion,seed,esperanza_ideal,razon_ideal,probabilidad_optimo_ideal,shots,esperanza_muestral,razon_muestral,shots_optimos,frecuencia_optimo,encontro_optimo,bitstring_mas_frecuente,costo_bitstring_mas_frecuente,frecuencia_mas_alta,bitstring_mejor_observado,costo_mejor_observado
6,3,13,605039,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.29107823011738,0.9213950214584248,201,0.392578125,True,011101,38.30178957666869,0.203125,011101,38.30178957666869
6,3,14,605040,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.14970401264725,0.917703961092114,184,0.359375,True,100010,38.30178957666869,0.1796875,100010,38.30178957666869
6,3,15,605041,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.147513478146124,0.9176467696520988,205,0.400390625,True,100010,38.30178957666869,0.23046875,100010,38.30178957666869
6,3,16,605042,35.13598452098282,0.9173457665582401,0.3792347701492646,512,34.91800269984172,0.9116546011181191,193,0.376953125,True,100010,38.30178957666869,0.212890625,100010,38.30178957666869
6,3,17,605043,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.11037989960767,0.916677269820692,206,0.40234375,True,100010,38.30178957666869,0.20703125,100010,38.30178957666869
6,3,18,605044,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.00055147904169,0.9138098210206217,189,0.369140625,True,011101,38.30178957666869,0.185546875,011101,38.30178957666869
6,3,19,605045,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.061916513532225,0.9154119663816255,191,0.373046875,True,011101,38.30178957666869,0.1875,011101,38.30178957666869
6,3,20,605046,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.0858686363882,0.9160373189596609,201,0.392578125,True,100010,38.30178957666869,0.197265625,100010,38.30178957666869
6,3,21,605047,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.20001136488047,0.9190174076121721,206,0.40234375,True,011101,38.30178957666869,0.22265625,011101,38.30178957666869
6,3,22,605048,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.51766262804591,0.9273107867640407,224,0.4375,True,100010,38.30178957666869,0.23046875,100010,38.30178957666869
6,3,23,605049,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.196891549289575,0.9189359540919771,178,0.34765625,True,011101,38.30178957666869,0.177734375,011101,38.30178957666869
6,3,24,605050,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.147087218723335,0.9176356406832573,189,0.369140625,True,011101,38.30178957666869,0.185546875,011101,38.30178957666869
6,3,25,605051,35.13598452098282,0.9173457665582401,0.3792347701492646,512,34.96987846063429,0.9130089963399646,172,0.3359375,True,100010,38.30178957666869,0.171875,100010,38.30178957666869
6,3,26,605052,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.42847613414939,0.9249822664813292,202,0.39453125,True,100010,38.30178957666869,0.20703125,100010,38.30178957666869
6,3,27,605053,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.312756973936764,0.9219610196548077,206,0.40234375,True,011101,38.30178957666869,0.21484375,011101,38.30178957666869
6,3,28,605054,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.230606611961335,0.9198162018047662,202,0.39453125,True,100010,38.30178957666869,0.19921875,100010,38.30178957666869
6,3,29,605055,35.13598452098282,0.9173457665582401,0.3792347701492646,512,35.29025846309497,0.9213736186197732,198,0.38671875,True,100010,38.30178957666869,0.197265625,100010,38.30178957666869
6,3,30,605056,35.13598452098282,0.9173457665582401,0.3792347701492646,512,34.84427166009628,0.9097295986428356,181,0.353515625,True,011101,38.30178957666869,0.18359375,011101,38.30178957666869
8,1,1,803027,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.023090435712376,0.8058899165880372,23,0.044921875,True,11110000,36.44020451679561,0.02734375,00101101,42.218037146668195
8,1,2,803028,34.26318835186908,0.8115770098869278,0.04687826369593861,512,33.828984799683234,0.8012922221156797,22,0.04296875,True,01101100,39.303751354011645,0.033203125,11010010,42.218037146668195
8,1,3,803029,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.40397986692031,0.8149118763222779,35,0.068359375,True,11010010,42.218037146668195,0.046875,11010010,42.218037146668195
8,1,4,803030,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.24551796524139,0.8111584592431414,24,0.046875,True,11010010,42.218037146668195,0.03515625,11010010,42.218037146668195
8,1,5,803031,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.503014699014514,0.817257670650589,27,0.052734375,True,11010010,42.218037146668195,0.033203125,11010010,42.218037146668195
8,1,6,803032,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.02366371769749,0.8059034956652241,23,0.044921875,True,10000011,36.06705036841447,0.03125,11010010,42.218037146668195
8,1,7,803033,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.502787610375634,0.8172522917022953,20,0.0390625,True,11010110,40.25089147716549,0.0390625,00101101,42.218037146668195
8,1,8,803034,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.406592818496556,0.814973768152234,17,0.033203125,True,00001111,36.44020451679561,0.03515625,11010010,42.218037146668195
8,1,9,803035,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.44668991325213,0.8159235303265153,19,0.037109375,True,01001110,33.52591872413906,0.029296875,00101101,42.218037146668195
8,1,10,803036,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.82754368885367,0.8249446455021551,31,0.060546875,True,11010010,42.218037146668195,0.04296875,11010010,42.218037146668195
8,1,11,803037,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.244892726645205,0.811143649492655,24,0.046875,True,01101100,39.303751354011645,0.029296875,11010010,42.218037146668195
8,1,12,803038,34.26318835186908,0.8115770098869278,0.04687826369593861,512,33.561846490702976,0.7949646349745776,18,0.03515625,True,00111001,37.01419049156831,0.037109375,11010010,42.218037146668195
8,1,13,803039,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.10440884327272,0.8078160697930116,28,0.0546875,True,00101101,42.218037146668195,0.033203125,00101101,42.218037146668195
8,1,14,803040,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.20963354973361,0.8103084809416401,23,0.044921875,True,11010010,42.218037146668195,0.029296875,11010010,42.218037146668195
8,1,15,803041,34.26318835186908,0.8115770098869278,0.04687826369593861,512,33.84791416224437,0.8017405935663651,18,0.03515625,True,11110000,36.44020451679561,0.033203125,00101101,42.218037146668195
8,1,16,803042,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.08148655799707,0.8072731197454928,20,0.0390625,True,10110001,33.52591872413906,0.03125,11010010,42.218037146668195
8,1,17,803043,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.785204556939696,0.8239417771839158,27,0.052734375,True,00101101,42.218037146668195,0.03125,00101101,42.218037146668195
8,1,18,803044,34.26318835186908,0.8115770098869278,0.04687826369593861,512,33.96315531594762,0.8044702598769814,18,0.03515625,True,01101101,41.538490562265864,0.03515625,11010010,42.218037146668195
8,1,19,803045,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.04388951524258,0.8063825751987939,18,0.03515625,True,10000010,38.30178957666869,0.03125,00101101,42.218037146668195
8,1,20,803046,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.34937280241075,0.8136184229028749,30,0.05859375,True,11010010,42.218037146668195,0.03515625,11010010,42.218037146668195
8,1,21,803047,34.26318835186908,0.8115770098869278,0.04687826369593861,512,33.93060919209561,0.8036993542155478,26,0.05078125,True,11010010,42.218037146668195,0.029296875,11010010,42.218037146668195
8,1,22,803048,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.350961277531496,0.8136560484114977,27,0.052734375,True,11010010,42.218037146668195,0.03515625,11010010,42.218037146668195
8,1,23,803049,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.29674350657961,0.8123718160166609,20,0.0390625,True,11110100,34.47305884729291,0.0234375,11010010,42.218037146668195
8,1,24,803050,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.60550906617517,0.8196854094580885,31,0.060546875,True,11010010,42.218037146668195,0.037109375,11010010,42.218037146668195
8,1,25,803051,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.270678305284804,0.8117544211054898,24,0.046875,True,00111001,37.01419049156831,0.02734375,00101101,42.218037146668195
8,1,26,803052,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.22454288545495,0.8106616317920473,28,0.0546875,True,00101101,42.218037146668195,0.03125,00101101,42.218037146668195
8,1,27,803053,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.07503157962299,0.8071202235236374,27,0.052734375,True,00101101,42.218037146668195,0.029296875,00101101,42.218037146668195
8,1,28,803054,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.74256301070392,0.8229317457111996,20,0.0390625,True,00001111,36.44020451679561,0.033203125,00101101,42.218037146668195
8,1,29,803055,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.32206520840873,0.8129715999843605,21,0.041015625,True,11110100,34.47305884729291,0.03125,00101101,42.218037146668195
8,1,30,803056,34.26318835186908,0.8115770098869278,0.04687826369593861,512,34.43765365257046,0.8157094924106835,22,0.04296875,True,00001111,36.44020451679561,0.03125,11010010,42.218037146668195
8,2,1,804027,36.09238531050085,0.8549043903669657,0.07680697959434885,512,36.369152571721344,0.8614600542470806,46,0.08984375,True,11010010,42.218037146668195,0.048828125,11010010,42.218037146668195
8,2,2,804028,36.09238531050085,0.8549043903669657,0.07680697959434885,512,36.15028267239951,0.8562757796074388,37,0.072265625,True,10010010,41.538490562265864,0.044921875,00101101,42.218037146668195
8,2,3,804029,36.09238531050085,0.8549043903669657,0.07680697959434885,512,36.266979118320435,0.8590399167820741,41,0.080078125,True,00101101,42.218037146668195,0.04296875,00101101,42.218037146668195
8,2,4,804030,36.09238531050085,0.8549043903669657,0.07680697959434885,512,35.92557103957821,0.850953134406442,33,0.064453125,True,00101101,42.218037146668195,0.037109375,00101101,42.218037146668195
8,2,5,804031,36.09238531050085,0.8549043903669657,0.07680697959434885,512,36.180883482061645,0.85700060747082,42,0.08203125,True,11010010,42.218037146668195,0.044921875,11010010,42.218037146668195
8,2,6,804032,36.09238531050085,0.8549043903669657,0.07680697959434885,512,36.12939044214234,0.8557809145765531,35,0.068359375,True,00101101,42.218037146668195,0.044921875,00101101,42.218037146668195
8,2,7,804033,36.09238531050085,0.8549043903669657,0.07680697959434885,512,36.10356891710812,0.8551692915173452,44,0.0859375,True,11010010,42.218037146668195,0.04296875,11010010,42.218037146668195
8,2,8,804034,36.09238531050085,0.8549043903669657,0.07680697959434885,512,36.14982891809197,0.8562650317295601,34,0.06640625,True,00101001,40.25089147716549,0.037109375,11010010,42.218037146668195
8,2,9,804035,36.09238531050085,0.8549043903669657,0.07680697959434885,512,36.17893098727554,0.8569543595891561,50,0.09765625,True,11010010,42.218037146668195,0.0546875,11010010,42.218037146668195
8,2,10,804036,36.09238531050085,0.8549043903669657,0.07680697959434885,512,36.15952314976579,0.856494654713685,44,0.0859375,True,11010010,42.218037146668195,0.056640625,11010010,42.218037146668195
