n,reinicio,seed,valor_corte,bitstring,movimientos,runtime_seconds
8,46,82072,42.218037148,01110010,4,0.0008806979999462783
8,47,82073,42.218037148,01110010,3,0.000965708999956405
8,48,82074,42.218037148,10001101,4,0.0008486280003126012
8,49,82075,42.218037148,01110010,2,0.0005330450003384613
8,50,82076,36.440204518,01111000,1,0.0005431449999377946
8,51,82077,42.218037148,01110010,3,0.0007217369998215872
8,52,82078,42.218037148,10001101,3,0.0006342659999063471
8,53,82079,42.218037148,10001101,5,0.0016255850000561622
8,54,82080,42.218037148,01110010,4,0.0013868819996787352
8,55,82081,42.218037148,01110010,1,0.0005941949998486962
8,56,82082,42.218037148,10001101,2,0.0006402560002243263
8,57,82083,42.218037148,01110010,5,0.0013413320002655382
8,58,82084,42.218037148,01110010,4,0.0020657700001720514
8,59,82085,42.218037148,01110010,3,0.0017598959998395003
8,60,82086,42.218037148,01110010,4,0.0009533089996693889
8,61,82087,42.218037148,01110010,2,0.0005637049998767907
8,62,82088,42.218037148,10001101,2,0.0005979459997433878
8,63,82089,42.218037148,01110010,4,0.0008293570003843342
8,64,82090,42.218037148,01110010,5,0.0010182500000155414
8,65,82091,42.218037148,01110010,3,0.0007685569999011932
8,66,82092,36.440204518,10000111,2,0.0006012359999658656
8,67,82093,42.218037148,10001101,4,0.0007804169999872101
8,68,82094,36.440204518,10000111,3,0.0007554170001640159
8,69,82095,42.218037148,10001101,4,0.0010629799999151146
8,70,82096,42.218037148,10001101,3,0.0007716869999967457
8,71,82097,42.218037148,10001101,2,0.0007085570000526786
8,72,82098,42.218037148,01110010,3,0.0008320880001519981
8,73,82099,42.218037148,01110010,3,0.0009540289997858054
8,74,82100,36.440204518,10000111,2,0.0005656550001731375
8,75,82101,42.218037148,10001101,4,0.0008220980002988654
8,76,82102,42.218037148,01110010,2,0.0005605649998869922
8,77,82103,42.218037148,10001101,4,0.0007647570000699488
8,78,82104,42.218037148,10001101,2,0.0007487469997613516
8,79,82105,36.440204518,10000111,4,0.0011138410000057775
8,80,82106,42.218037148,10001101,3,0.0008541080001123191
8,81,82107,42.218037148,10001101,3,0.0007123870000214083
8,82,82108,42.218037148,10001101,1,0.0003942230000575364
8,83,82109,42.218037148,01110010,4,0.0009725790000629786
8,84,82110,42.218037148,10001101,2,0.0007547469999735767
8,85,82111,42.218037148,10001101,4,0.0008941890000642161
8,86,82112,42.218037148,01110010,3,0.0006800759997531713
8,87,82113,42.218037148,10001101,4,0.0009375789995829109
8,88,82114,36.440204518,10000111,2,0.0005540849997487385
8,89,82115,42.218037148,10001101,2,0.0005785949997516582
8,90,82116,36.440204518,01111000,0,0.00026973300009558443
8,91,82117,42.218037148,01110010,2,0.0005537950000871206
8,92,82118,42.218037148,10001101,5,0.0010506799999348004
8,93,82119,42.218037148,01110010,4,0.0009521989995846525
8,94,82120,42.218037148,10001101,5,0.001277361000120436
8,95,82121,42.218037148,01110010,4,0.0009382190000906121
8,96,82122,42.218037148,10001101,3,0.001123390999964613
8,97,82123,42.218037148,10001101,3,0.0010336489999644982
8,98,82124,42.218037148,01110010,2,0.0006369360003191105
8,99,82125,42.218037148,01110010,3,0.0010482500001671724
10,0,102026,87.07504782800001,0111100010,4,0.0011203900003238232
10,1,102027,87.07504782800001,0111100010,6,0.0014707440000165661
10,2,102028,87.07504782800001,0111100010,4,0.0014351529998748447
10,3,102029,87.07504782800001,1000011101,3,0.0009668390002843807
10,4,102030,87.07504782800001,1000011101,5,0.0013616630003525643
10,5,102031,81.297215198,0111101000,4,0.001448363000235986
10,6,102032,69.474458793,1100000111,2,0.0009336489997622266
10,7,102033,81.297215198,0111101000,4,0.0014359430001604778
10,8,102034,87.07504782800001,0111100010,3,0.001192142000036256
10,9,102035,81.297215198,0111101000,3,0.0012472809999053425
10,10,102036,87.07504782800001,1000011101,4,0.002645765000124811
10,11,102037,81.297215198,1000010111,4,0.0013663720001204638
10,12,102038,87.07504782800001,0111100010,4,0.0015797350001776067
10,13,102039,81.297215198,1000010111,2,0.0007033370002318406
10,14,102040,81.297215198,1000010111,4,0.001233600999967166
10,15,102041,75.252291423,0011110010,4,0.0019198380000489124
10,16,102042,81.297215198,1000010111,6,0.0027258850000180246
10,17,102043,87.07504782800001,0111100010,3,0.0020887499999844295
10,18,102044,87.07504782800001,0111100010,4,0.0016787660001682525
10,19,102045,87.07504782800001,0111100010,2,0.0008450180002910201
10,20,102046,81.297215198,0111101000,4,0.0014322130000437028
10,21,102047,81.297215198,1000010111,4,0.0018290069997419778
10,22,102048,81.297215198,1000010111,2,0.0007813070001247979
10,23,102049,87.07504782800001,1000011101,2,0.0008166580000761314
10,24,102050,87.07504782800001,0111100010,4,0.002095208999890019
10,25,102051,87.07504782800001,1000011101,4,0.001807786999961536
10,26,102052,81.297215198,0111101000,3,0.0011895010002263007
10,27,102053,87.07504782800001,1000011101,3,0.0015075239998623147
10,28,102054,87.07504782800001,0111100010,4,0.0015186640002866625
10,29,102055,75.252291423,1100001101,3,0.0012344910001047538
10,30,102056,87.07504782800001,1000011101,2,0.0010066499999084044
10,31,102057,87.07504782800001,1000011101,3,0.001075849999779166
10,32,102058,87.07504782800001,0111100010,2,0.0006606760002796364
10,33,102059,81.297215198,0111101000,6,0.0016014950001590478
10,34,102060,81.297215198,1000010111,5,0.0020662290003201633
10,35,102061,81.297215198,1000010111,5,0.0027666360001603607
10,36,102062,87.07504782800001,1000011101,6,0.0017161760001727089
10,37,102063,87.07504782800001,1000011101,3,0.0009345379999103898
10,38,102064,81.297215198,1000010111,5,0.0013178829999560548
10,39,102065,87.07504782800001,0111100010,3,0.0008493870000165771
10,40,102066,87.07504782800001,0111100010,3,0.0008570170002712985
10,41,102067,81.297215198,0111101000,4,0.0013673429998561915
10,42,102068,81.297215198,0111101000,4,0.0011463910000202304
10,43,102069,87.07504782800001,1000011101,3,0.0016692250001142384
10,44,102070,87.07504782800001,1000011101,4,0.0017539469999974244
10,45,102071,87.07504782800001,1000011101,6,0.0025771440000426082
10,46,102072,81.297215198,1000010111,2,0.0011456110000835906
10,47,102073,69.474458793,1100000111,3,0.0008650179997857776
10,48,102074,87.07504782800001,0111100010,4,0.0011005200003637583
10,49,102075,81.297215198,1000010111,5,0.001593714999671647
10,50,102076,87.07504782800001,1000011101,3,0.0009388089997628413
10,51,102077,81.297215198,1000010111,4,0.000996469999790861
10,52,102078,81.297215198,0111101000,4,0.0019937980000577227
10,53,102079,81.297215198,0111101000,3,0.001393582999753562
10,54,102080,87.07504782800001,1000011101,3,0.0009480789999543049
10,55,102081,75.252291423,0011110010,2,0.0009416990001227532
10,56,102082,87.07504782800001,1000011101,4,0.0014190829997460241
10,57,102083,87.07504782800001,0111100010,3,0.001291951999974117
10,58,102084,75.252291423,0011110010,2,0.0006587759999092668
10,59,102085,81.297215198,0111101000,5,0.001268221999907837
10,60,102086,81.297215198,0111101000,5,0.0014360829995894164
10,61,102087,87.07504782800001,1000011101,4,0.0011143399997308734
10,62,102088,87.07504782800001,0111100010,5,0.001578464999965945
10,63,102089,87.07504782800001,0111100010,5,0.0016512749998582876
10,64,102090,87.07504782800001,0111100010,4,0.001106831000015518
10,65,102091,87.07504782800001,0111100010,4,0.0015576139999211591
10,66,102092,87.07504782800001,0111100010,4,0.0014122430002316833
10,67,102093,75.252291423,0011110010,3,0.0009858090002126119
10,68,102094,87.07504782800001,1000011101,1,0.0004543650002233335
10,69,102095,81.297215198,1000010111,4,0.002427301999887277
10,70,102096,87.07504782800001,0111100010,5,0.0013825729997734015
10,71,102097,75.252291423,1100001101,3,0.001353783000013209
10,72,102098,75.252291423,1100001101,2,0.0008216169999286649
10,73,102099,81.297215198,0111101000,4,0.0015660550002394302
10,74,102100,81.297215198,1000010111,3,0.001644254999973782
10,75,102101,81.297215198,0111101000,1,0.0005657560000145168
10,76,102102,87.07504782800001,1000011101,3,0.0008524780000698229
10,77,102103,81.297215198,1000010111,3,0.0007571870000901981
10,78,102104,87.07504782800001,1000011101,1,0.0008359080002264818
10,79,102105,87.07504782800001,0111100010,4,0.0020363690000522183
10,80,102106,81.297215198,0111101000,4,0.00331429100015157
10,81,102107,87.07504782800001,1000011101,3,0.001088399999844114
10,82,102108,81.297215198,0111101000,3,0.0012179919999653066
10,83,102109,87.07504782800001,1000011101,2,0.0007415869999931601
10,84,102110,87.07504782800001,1000011101,2,0.0006900959997437894
10,85,102111,87.07504782800001,0111100010,3,0.0008647680001558911
10,86,102112,81.297215198,1000010111,6,0.0015221240000755643
10,87,102113,81.297215198,0111101000,4,0.0017800870000428404
10,88,102114,87.07504782800001,1000011101,3,0.0013934530002188694
10,89,102115,87.07504782800001,1000011101,5,0.0018221069999526662
10,90,102116,87.07504782800001,1000011101,5,0.0018023459997493774
10,91,102117,81.297215198,1000010111,4,0.0011886309998772049
10,92,102118,81.297215198,1000010111,3,0.0013234929997452127
10,93,102119,87.07504782800001,1000011101,4,0.001491883000198868
10,94,102120,87.07504782800001,0111100010,5,0.0017177059999085031
10,95,102121,87.07504782800001,0111100010,5,0.001669096000114223
10,96,102122,81.297215198,1000010111,6,0.0022316810000120313
10,97,102123,81.297215198,1000010111,5,0.0016360449999410775
10,98,102124,75.252291423,0011110010,4,0.0024266620002890704
10,99,102125,81.297215198,1000010111,2,0.0009535489998597768
12,0,122026,85.55464303599999,100101001111,2,0.001050759999998263
12,1,122027,91.332475666,011010010010,3,0.0011920209999516374
12,2,122028,93.299621336,011110001010,5,0.0022809510001025046
12,3,122029,91.332475666,100101101101,1,0.000638876000266464
12,4,122030,87.521788706,100001010111,5,0.0016999059998852317
12,5,122031,93.299621336,011110001010,6,0.0022450809997280885
12,6,122032,93.299621336,100001110101,4,0.0014359030001287465
12,7,122033,87.521788706,011110101000,4,0.0017613069999242725
12,8,122034,81.476864931,001111001010,5,0.0025936339998224867
12,9,122035,85.55464303599999,011010110000,3,0.0015228639999804727
12,10,122036,93.299621336,100001110101,6,0.0027315259999340924
12,11,122037,93.299621336,100001110101,3,0.0023036819998196734
12,12,122038,87.521788706,011110101000,5,0.0018766270000014629
12,13,122039,87.521788706,011110101000,3,0.0013300630002959224
12,14,122040,93.299621336,011110001010,6,0.002443161999963195
12,15,122041,87.521788706,011110101000,4,0.0016292459999931452
12,16,122042,93.299621336,011110001010,5,0.0020358179999675485
12,17,122043,93.299621336,100001110101,3,0.0017002360000333283
12,18,122044,93.299621336,011110001010,3,0.0012179320001450833
12,19,122045,87.521788706,011110101000,3,0.0019815379996543925
12,20,122046,87.521788706,100001010111,6,0.002680675000192423
12,21,122047,93.299621336,100001110101,3,0.0014063529997656588
