n,ejecucion,seed,pasos,mejor_valor,mejor_bitstring,valor_final,bitstring_final,movimientos_aceptados,movimientos_peores_aceptados,temperatura_inicial,temperatura_final,runtime_seconds
8,94,8002120,2000,42.218037148,10001101,42.218037148,01110010,445,218,22.259035477999998,0.02218224978080766,0.06097166700010348
8,95,8002121,2000,42.218037148,10001101,42.218037148,01110010,445,225,22.259035477999998,0.02218224978080766,0.05421739499979594
8,96,8002122,2000,42.218037148,01110010,42.218037148,01110010,449,223,22.259035477999998,0.02218224978080766,0.05435169499969561
8,97,8002123,2000,42.218037148,10001101,36.440204518,10000111,467,226,22.259035477999998,0.02218224978080766,0.05360535899990282
8,98,8002124,2000,42.218037148,01110010,42.218037148,01110010,466,244,22.259035477999998,0.02218224978080766,0.05544194599997354
8,99,8002125,2000,42.218037148,10001101,42.218037148,01110010,450,232,22.259035477999998,0.02218224978080766,0.05769472699967082
10,0,10002026,2000,87.07504782800001,1000011101,87.07504782800001,0111100010,520,259,44.85701068,0.04470227006500631,0.06654706900008023
10,1,10002027,2000,87.07504782800001,1000011101,81.297215198,1000010111,495,244,44.85701068,0.04470227006500631,0.06743254799994247
10,2,10002028,2000,87.07504782800001,0111100010,81.297215198,1000010111,539,273,44.85701068,0.04470227006500631,0.06460626999978558
10,3,10002029,2000,87.07504782800001,1000011101,87.07504782800001,0111100010,520,266,44.85701068,0.04470227006500631,0.0649041749998105
10,4,10002030,2000,87.07504782800001,0111100010,87.07504782800001,0111100010,542,268,44.85701068,0.04470227006500631,0.06010879899986321
10,5,10002031,2000,87.07504782800001,1000011101,87.07504782800001,1000011101,551,278,44.85701068,0.04470227006500631,0.06983372000013333
10,6,10002032,2000,87.07504782800001,0111100010,81.297215198,1000010111,508,258,44.85701068,0.04470227006500631,0.059292751000157295
10,7,10002033,2000,87.07504782800001,1000011101,81.297215198,1000010111,503,246,44.85701068,0.04470227006500631,0.05980281600022863
10,8,10002034,2000,87.07504782800001,0111100010,87.07504782800001,1000011101,549,274,44.85701068,0.04470227006500631,0.059065530999760085
10,9,10002035,2000,87.07504782800001,1000011101,81.297215198,1000010111,550,275,44.85701068,0.04470227006500631,0.056816347999756545
10,10,10002036,2000,87.07504782800001,1000011101,81.297215198,1000010111,550,272,44.85701068,0.04470227006500631,0.07347736399970017
10,11,10002037,2000,87.07504782800001,1000011101,87.07504782800001,0111100010,556,280,44.85701068,0.04470227006500631,0.07357904399987092
10,12,10002038,2000,87.07504782800001,1000011101,81.297215198,0111101000,522,265,44.85701068,0.04470227006500631,0.06269330399982209
10,13,10002039,2000,87.07504782800001,1000011101,87.07504782800001,0111100010,550,268,44.85701068,0.04470227006500631,0.06694654300008551
10,14,10002040,2000,87.07504782800001,0111100010,87.07504782800001,0111100010,529,272,44.85701068,0.04470227006500631,0.06210823800029175
10,15,10002041,2000,87.07504782800001,0111100010,87.07504782800001,1000011101,558,275,44.85701068,0.04470227006500631,0.0755793119997179
10,16,10002042,2000,87.07504782800001,0111100010,87.07504782800001,0111100010,518,255,44.85701068,0.04470227006500631,0.07224558300003991
10,17,10002043,2000,87.07504782800001,0111100010,87.07504782800001,0111100010,491,244,44.85701068,0.04470227006500631,0.0730627100001584
10,18,10002044,2000,87.07504782800001,1000011101,87.07504782800001,0111100010,520,258,44.85701068,0.04470227006500631,0.05554026600020734
10,19,10002045,2000,87.07504782800001,1000011101,87.07504782800001,0111100010,537,265,44.85701068,0.04470227006500631,0.06275131399979728
10,20,10002046,2000,87.07504782800001,1000011101,87.07504782800001,0111100010,527,265,44.85701068,0.04470227006500631,0.07134974400014471
10,21,10002047,2000,87.07504782800001,1000011101,87.07504782800001,0111100010,555,277,44.85701068,0.04470227006500631,0.07058912699994835
10,22,10002048,2000,87.07504782800001,0111100010,87.07504782800001,0111100010,532,266,44.85701068,0.04470227006500631,0.07490595699982805
10,23,10002049,2000,87.07504782800001,1000011101,87.07504782800001,1000011101,524,264,44.85701068,0.04470227006500631,0.056646196999736276
10,24,10002050,2000,87.07504782800001,1000011101,81.297215198,1000010111,530,267,44.85701068,0.04470227006500631,0.059601335000024847
10,25,10002051,2000,87.07504782800001,1000011101,87.07504782800001,1000011101,558,275,44.85701068,0.04470227006500631,0.06029893999993874
10,26,10002052,2000,87.07504782800001,1000011101,87.07504782800001,1000011101,533,271,44.85701068,0.04470227006500631,0.06403878499986604
10,27,10002053,2000,87.07504782800001,0111100010,87.07504782800001,0111100010,537,273,44.85701068,0.04470227006500631,0.0635308780001651
10,28,10002054,2000,87.07504782800001,0111100010,87.07504782800001,0111100010,568,282,44.85701068,0.04470227006500631,0.07187815499992212
10,29,10002055,2000,87.07504782800001,1000011101,75.252291423,0011110010,559,281,44.85701068,0.04470227006500631,0.0565380829998503
10,30,10002056,2000,87.07504782800001,1000011101,87.07504782800001,1000011101,522,258,44.85701068,0.04470227006500631,0.07824102399990807
10,31,10002057,2000,87.07504782800001,1000011101,87.07504782800001,0111100010,483,243,44.85701068,0.04470227006500631,0.07057733300007385
10,32,10002058,2000,87.07504782800001,1000011101,87.07504782800001,0111100010,526,264,44.85701068,0.04470227006500631,0.07783942000014576
