job_id,hugr_id,grafo,n,p,shots_configurados,registro,bitstring,frecuencia,probabilidad,costo
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00001110,2,0.00390625,6.4573792139999995
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00010011,2,0.00390625,27.006389616
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00011111,2,0.00390625,11.928819408999999
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,01001010,2,0.00390625,31.558773055
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,01001110,2,0.00390625,17.160749432
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,01010111,2,0.00390625,16.838334239
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,01111100,2,0.00390625,41.538490564
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,10000111,2,0.00390625,27.140466941
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,10100001,2,0.00390625,19.395488641
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,10110001,2,0.00390625,17.160749432
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,11100000,2,0.00390625,11.928819408999999
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,11100100,2,0.00390625,26.326843032
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00000111,1,0.001953125,9.014533616
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00001000,1,0.001953125,0.679546584
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00001001,1,0.001953125,3.91624757
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00001010,1,0.001953125,20.855402837
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00001100,1,0.001953125,15.077570207
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00010101,1,0.001953125,21.228556985999997
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00011010,1,0.001953125,23.090142046
